serverId,token,tradeCount,matchedDiffCount,missingDiffCount,firstTradeAt,lastTradeAt
bnb,ff,867,41,826,2025-10-01 01:18:12.510000+00:00,2025-11-22 05:44:25.713000+00:00
bnb,form,1268,50,1218,2025-10-13 08:54:27.199000+00:00,2025-11-21 20:19:07.990000+00:00
bnb,froggie,20,0,20,2025-09-25 16:53:36.244000+00:00,2025-11-17 20:51:17.811000+00:00
bnb,giggle,2579,37,2542,2025-10-26 14:21:11.841000+00:00,2025-11-22 13:34:12.763000+00:00
bnb,hemi,163,0,163,2025-10-01 09:25:08.561000+00:00,2025-11-13 07:17:18.070000+00:00
bnb,in,42,0,42,2025-08-22 22:45:55.931000+00:00,2025-11-22 02:19:43.133000+00:00
bnb,koge,78,0,78,2025-08-25 20:17:51.836000+00:00,2025-11-22 10:29:15.159000+00:00
bnb,lab,3,0,3,2025-10-16 14:30:25.539000+00:00,2025-11-01 15:20:14.409000+00:00
bnb,link,1153,28,1125,2025-08-20 13:03:33.578000+00:00,2025-11-22 11:33:20.427000+00:00
bnb,lista,147,61,86,2025-10-13 11:28:59.493000+00:00,2025-11-20 15:11:08.838000+00:00
bnb,milk,5,0,5,2025-10-03 13:29:00.218000+00:00,2025-10-23 15:15:28.563000+00:00
bnb,mira,349,25,324,2025-10-01 08:48:21.132000+00:00,2025-11-22 04:05:18.077000+00:00
bnb,mubarak,12,0,12,2025-10-13 09:58:17.549000+00:00,2025-10-18 08:21:17.146000+00:00
bnb,myx,10,0,10,2025-08-18 21:08:18.772000+00:00,2025-09-23 07:26:42.594000+00:00
bnb,native,11,0,11,2025-10-04 16:21:47.127000+00:00,2025-11-19 20:57:55.692000+00:00
bnb,planck,2,0,2,2025-11-14 01:41:40+00:00,2025-11-14 02:10:30.560000+00:00
bnb,quq,20,0,20,2025-09-21 09:33:41.213000+00:00,2025-11-21 01:27:04.827000+00:00
bnb,rex,1,0,1,2025-09-18 23:49:06.999000+00:00,2025-09-18 23:49:06.999000+00:00
bnb,rwa,2,0,2,2025-09-10 13:16:06.485000+00:00,2025-10-23 14:12:56.342000+00:00
bnb,sfp,2,0,2,2025-10-03 18:49:12.777000+00:00,2025-10-23 15:20:29.237000+00:00
bnb,sign,862,10,852,2025-08-18 15:27:41.387000+00:00,2025-11-20 11:26:40.642000+00:00
bnb,siren,10,0,10,2025-08-19 02:51:16.850000+00:00,2025-11-21 12:22:14.042000+00:00
bnb,skyai,2,0,2,2025-10-21 21:21:53.787000+00:00,2025-11-14 07:50:41.403000+00:00
bnb,sol,1142,52,1090,2025-08-18 15:27:30.511000+00:00,2025-11-22 17:18:41.535000+00:00
bnb,solv,7,0,7,2025-08-19 03:28:29.478000+00:00,2025-11-07 03:05:33.986000+00:00
bnb,soon,8,0,8,2025-08-19 02:28:07.980000+00:00,2025-11-15 16:37:20.399000+00:00
bnb,sps,3,0,3,2025-08-24 17:45:24.626000+00:00,2025-08-24 19:40:27.642000+00:00
bnb,sto,54,0,54,2025-10-03 13:32:00.293000+00:00,2025-10-17 08:17:26.374000+00:00
bnb,tag,143,0,143,2025-08-20 18:15:56.607000+00:00,2025-11-22 15:45:05.500000+00:00
bnb,towns,223,2,221,2025-10-19 12:11:00.629000+00:00,2025-11-19 13:27:41.714000+00:00
bnb,tradoor,37,0,37,2025-10-14 00:33:03.646000+00:00,2025-11-21 01:27:04.718000+00:00
bnb,tree,523,39,484,2025-08-19 00:46:20.184000+00:00,2025-11-21 18:13:37.969000+00:00
bnb,twt,235,33,202,2025-10-31 08:52:09.661000+00:00,2025-11-22 14:21:25.384000+00:00
bnb,uni,2048,188,1860,2025-08-18 15:54:10.670000+00:00,2025-11-22 16:46:42.547000+00:00
bnb,usd1,1,0,1,2025-09-01 04:00:18.140000+00:00,2025-09-01 04:00:18.140000+00:00
bnb,usdc,1997,0,1997,2025-09-23 05:26:10.356000+00:00,2025-11-22 13:46:28.306000+00:00
bnb,velo,21,0,21,2025-08-20 01:58:35.559000+00:00,2025-11-05 17:01:24.178000+00:00
bnb,xpl,919,30,889,2025-09-28 09:16:11.695000+00:00,2025-11-22 14:07:48.334000+00:00
bnb,xrp,2029,211,1818,2025-08-18 17:35:55.635000+00:00,2025-11-22 08:23:33.571000+00:00
bnb,yb,1821,42,1779,2025-10-16 05:47:51.329000+00:00,2025-11-22 14:51:24.290000+00:00
bnb,zbt,238,0,238,2025-10-18 06:34:43.978000+00:00,2025-11-03 10:23:56.976000+00:00
bnb,zkc,621,25,596,2025-10-02 13:59:12.691000+00:00,2025-11-22 03:21:03.562000+00:00
bnb,zkj,29,0,29,2025-08-18 23:04:25.529000+00:00,2025-11-05 02:56:24.342000+00:00
